# 词组读音,只收「读音异于逐字默认」的条目 —— 那正是修多音字需要的。
# 从 pypinyin 的 large_pinyin 导出(参考实现用的同一份),勿手改。
㞎㞎	ba3 ba5
软调脾	ruan3 tiao2 pi2
软轝	ruan3 yu2
软骨头	ruan3 gu2 tou5
软龈音	ruan3 yin2 yin1
轰动地	hong1 dong4 de5
轰动效应	hong1 dong4 xiao4 ying4
轰地一声	hong1 de5 yi1 sheng1
轰应	hong1 ying4
轰隆	hong1 long1
轰隆地响	hong1 long1 de5 xiang3
轰隆轰隆	hong1 long1 hong1 long1
轰隆隆	hong1 long1 long2
轴上地	zhou2 shang4 de5
轴子	zhou2 zi3
轴对称	zhou2 dui4 chen4
轸宿	zhen3 xiu4
轹跞辚辚	li4 luo4 lin2 lin2
轺毂	yao2 gu1
轻佻地	qing1 tiao1 de5
轻信地	qing1 xin4 de5
轻嘴薄舌	qing1 zui3 bo2 she2
轻地	qing1 de5
轻声地	qing1 sheng1 de5
轻声地讲	qing1 sheng1 de5 jiang3
轻声地说	qing1 sheng1 de5 shuo1
轻声地走	qing1 sheng1 de5 zou3
轻媠	qing1 duo4
轻嫚	qing1 man4
轻嫷	qing1 duo4
轻子	qing1 zi3
轻微地	qing1 wei1 de5
轻快地	qing1 kuai4 de5
轻快地动	qing1 kuai4 de5 dong4
轻快地唱	qing1 kuai4 de5 chang4
轻快地说	qing1 kuai4 de5 shuo1
轻快地走	qing1 kuai4 de5 zou3
轻快地飞	qing1 kuai4 de5 fei1
轻悠悠地	qing1 you1 you1 de5
轻才好施	qing1 cai2 hao4 shi1
轻易地	qing1 yi4 de5
轻松地	qing1 song1 de5
轻松地做	qing1 song1 de5 zuo4
轻松地笑	qing1 song1 de5 xiao4
轻松地说	qing1 song1 de5 shuo1
轻柔地	qing1 rou2 de5
轻楛	qing1 ku3
轻浪浮薄	qing1 lang4 fu2 bo2
轻浮地	qing1 fu2 de5
轻狂地	qing1 kuang2 de5
轻率	qing1 shuai4
轻率地	qing1 shuai4 de5
轻率地说	qing1 shuai4 de5 shuo1
轻盈地	qing1 ying2 de5
轻荑	qing1 yi2
轻蔑地	qing1 mie4 de5
轻蔑地笑	qing1 mie4 de5 xiao4
轻薄	qing1 bo2
轻薄莲华	qing1 bo2 lian2 hua2
轻装地	qing1 zhuang1 de5
轻视地	qing1 shi4 de5
轻訬	qing1 miao3
轻谩	qing1 man4
轻财好义	qing1 cai2 hao4 yi4
轻蹻	qing1 jue2
轻輭	qing1 er2
轻轻地	qing1 qing1 de5
轻轻地吹	qing1 qing1 de5 chui1
轻轻地咬	qing1 qing1 de5 yao3
轻轻地将	qing1 qing1 de5 jiang1
轻轻地打	qing1 qing1 de5 da3
轻轻地抓	qing1 qing1 de5 zhua1
轻轻地摇	qing1 qing1 de5 yao2
轻轻地来	qing1 qing1 de5 lai2
轻轻地舀	qing1 qing1 de5 yao3
轻轻地讲	qing1 qing1 de5 jiang3
轻轻地说	qing1 qing1 de5 shuo1
轻轻地走	qing1 qing1 de5 zou3
轻轻地问	qing1 qing1 de5 wen4
轻轻地飘	qing1 qing1 de5 piao1
轻轻着地	qing1 qing1 zhe5 de5
轻轻薄薄	qing1 qing1 bo2 bao2
轻载	qing1 zai3
轻重九府	qing1 chong2 jiu3 fu3
轻隽	qing1 jun4
轻靓	qing1 liang4
轻音乐	qing1 yin1 yue4
轻飘地	qing1 piao1 de5
轻飘飘地	qing1 piao1 piao1 de5
轻駃	qing1 kuai4
轻骨头	qing1 gu2 tou5
载世	zai3 shi4
载书	zai3 shu1
载任	zai3 ren4
载伯德	zai3 bo2 de2
载入	zai3 ru4
载入史册	zai3 ru4 shi3 ce4
载列	zai3 lie4
载削	zai3 xue1
载力	zai3 li4
载叙	zai3 xu4
载地	zai3 di4
载子	zai3 zi3
载履	zai3 lv3
载师	zai3 shi1
载帱	zai3 chou2
载常	zai3 chang2
载弄	zai3 nong4
载归	zai3 gui1
载德	zai3 de2
载心	zai3 xin1
载懽载笑	zai3 guan4 zai3 xiao4
载时	zai3 shi2
载明	zai3 ming2
载果	zai3 guo3
载民	zai3 min2
载涂	zai3 tu2
载湉	zai3 tian2
载焘	zai3 tao1
载牲	zai3 sheng1
载璧	zai3 bi4
载生	zai3 sheng1
载生魄	zai3 sheng1 po4
载畜量	zai3 chu4 liang4
载社	zai3 she4
载祀	zai3 si4
载福	zai3 fu2
载种	zai3 zhong3
载笔	zai3 bi3
载籍	zai3 ji2
载纪	zai3 ji4
载脂	zai3 zhi1
载花船	zai3 hua1 chuan2
载荷	zai4 he4
载营抱魄	zai3 ying2 bao4 po4
载营魄	zai3 ying2 po4
载覆	zai3 fu4
载言	zai3 yan2
载记	zai3 ji4
载词	zai3 ci2
载负	zai3 fu4
载贽	zai3 zhi4
载辞	zai3 ci2
载述	zai3 shu4
载送	zai3 song4
载醪	zai3 lao2
载録	zai3 lu4
载雪	zai3 xue3
载驩	zai3 huan1
载驰载驱	zai3 chi2 zai3 qu1
载驳船	zai3 bo2 chuan2
载鬼	zai3 gui3
载鬼一车	zai3 gui3 yi1 che1
载魄	zai3 po4
轿杠	jiao4 gang4
辁朴	quan2 piao2
较为	jiao4 wei2
较切	jiao4 qie1
较劲儿	jiao4 jin4 er5
较合适地	jiao4 he2 shi4 de5
较好地	jiao4 hao3 de5
较德焯勤	jiao4 de2 zhuo1 qin2
较早地	jiao4 zao3 de5
较真儿	jiao4 zhen1 er5
较短比长	jiao4 duan3 bi3 chang2
较短絜长	jiao4 duan3 xie2 chang2
较短量长	jiao4 duan3 liang2 chang2
较长絜短	jiao4 chang2 xie2 duan3
辅相	fu3 xiang4
辇轝	nian3 yu2
辈儿	bei4 er5
辉煌地	hui1 huang2 de5
辉长岩	hui1 chang2 yan2
辊子	gun3 zi3
辍卷	chuo4 juan4
辎軿车	zi1 peng1 che1
辏泊	cou4 bo2
辐射对称	fu2 she4 dui4 chen4
输供	shu1 gong4
输得起	shu1 de5 qi3
输掠	shu1 lve3
辔勒	pei4 le4
辔筴	pei4 jia1
辔衘	pei4 yu4
辗轧	zhan3 ya4
辗转	zhan3 zhuan3
辗转反侧	zhan3 zhuan3 fan3 ce4
辘轳	lu4 lu5
辘轳体	lu4 lu5 ti3
辘轳刼	lu4 lu5 jie2
辘轳剑	lu4 lu5 jian4
辘轳劫	lu4 lu5 jie2
辘轳格	lu4 lu5 ge2
辘轳韵	lu4 lu5 yun4
辙乱旗靡	zhe2 luan4 qi2 mi3
辚藉	lin2 jie4
辛切	xin1 qie1
辛劳地	xin1 lao2 de5
辛苦地	xin1 ku3 de5
辛苦地做	xin1 ku3 de5 zuo4
辛苦地干	xin1 ku3 de5 gan4
辛辣地	xin1 la4 de5
辛酸地	xin1 suan1 de5
辞愬	ci2 shuo4
辟举	bi4 ju3
辟书	bi4 shu1
辟佛	pi4 fo2
辟剌	pi4 la4
辟召	bi4 zhao4
辟吏	bi4 li4
辟引	bi4 yin3
辟支下乘	pi4 zhi1 xia4 sheng4
辟支佛	pi4 zhi1 fo2
辟纑	bi4 lu2
辟舍	pi4 she4
辟言	bi4 yan2
辟谷	bi4 gu3
辟邪	bi4 xie2
辟阳侯	pi4 yang2 hou4
辟除	bi4 chu2
辟雍	bi4 yong1
辠征	zui4 zhi3
辣哈布	la1 ha1 bu4
辣子角	la4 zi3 jiao3
辣眼睛	la4 yan3 jing5
辣臊	la4 sao4
辣茄	la4 qie2
辣阘	la4 ta4
辨似	bian4 si4
辨切	bian4 qie1
辨愬	bian4 shuo4
辨折	bian4 she2
辨诘	bian4 jie2
辩口利舌	bian4 kou3 li4 ci2
辩折	bian4 she2
辩给	bian4 ji3
辩解地	bian4 jie3 de5
辩证地	bian4 zheng4 de5
辩证法地	bian4 zheng4 fa3 de5
辩证逻辑	bian4 zheng4 luo2 ji5
辩诘	bian4 jie2
辩难	bian4 nan4
辰宿	chen2 xiu4
辱么	ru3 mo3
辱子	ru3 zi3
辱没	ru3 mo4
辴然	zhen3 ran2
边儿	bian1 er5
边卡	bian1 qia3
边反卷地	bian1 fan3 juan3 de5
边堡	bian1 pu4
边塞	bian1 sai4
边子	bian1 zi3
边对边地	bian1 dui4 bian1 de5
边峤	bian1 qiao2
边撩	bian1 liao2
边曲	bian1 qu3
边框	bian1 kuang4
边氓	bian1 meng2
边璅	bian1 zao3
边缘地	bian1 yuan2 de5
边老便便	bian1 lao3 bian4 pian2
边都护	bian1 du1 hu4
边钥	bian1 yue4
边长	bian1 chang2
辽东隺	liao2 dong1 he4
辽天华表	liao2 tian1 hua1 biao3
辽掖	liao2 ye4
辽濊	liao2 wei4
辽遶	liao2 rao3
达头地	da2 tou2 de5
达子	da2 zi3
达麽	da2 mo3
迁更	qian1 geng1
迁舍	qian1 she4
迁都	qian1 du1
迂回地	yu1 hui2 de5
迂夫子	yu1 fu1 zi3
迂折	yu1 she2
迄今为止	qi4 jin1 wei2 zhi3
迅捷地落	xun4 jie2 de5 luo4
迅猛地	xun4 meng3 de5
迅速地	xun4 su4 de5
迅駃	xun4 kuai4
迆逦	yi3 li3
过一会儿	guo4 yi1 hui4 er5
过不下	guo4 bu5 xia4
过为	guo4 wei2
过为已甚	guo4 wei2 yi3 shen4
过了头地	guo4 le5 tou2 de5
过人地	guo4 ren2 de5
过份地	guo4 fen4 de5
过关斩将	guo4 guan1 zhan3 jiang4
过分	guo4 fen4
过分地	guo4 fen4 de5
过分地做	guo4 fen4 de5 zuo4
过剩地	guo4 sheng4 de5
过劲儿	guo4 jin4 er5
过去佛	guo4 qu4 fo2
过去分词	guo4 qu5 fen1 ci2
过去式	guo4 qu5 shi4
过去经验	guo4 qu5 jing1 yan4
过多地	guo4 duo1 de5
过子	guo4 zi3
过家	guo1 jia1
过家伙	guo1 jia1 huo5
过家家	guo1 jia1 jia1
过家家儿	guo1 jia1 jia1 er2
过度地	guo4 du4 de5
过庭子	guo4 ting2 zi3
过得去	guo4 dei3 qu4
过得硬	guo4 de5 ying4
过急地	guo4 ji2 de5
过敏反应	guo4 min3 fan3 ying4
过敏地	guo4 min3 de5
过早地	guo4 zao3 de5
过时地	guo4 shi2 de5
过曲	guo4 qu3
过更	guo4 geng1
过江仆射	guo4 jiang1 pu2 ye4
过河卒子	guo4 he2 zu2 zi3
过淋	guo4 lin4
过渡地	guo4 du4 de5
过滤嘴儿	guo4 lv4 zui3 er5
过激地	guo4 ji1 de5
过细地	guo4 xi4 de5
过肩摔	guo4 jian1 shuai3
过节似地	guo4 jie2 shi4 de5
过谩	guo4 man4
过迟地	guo4 chi2 de5
过郄	guo4 xi4
过都历块	guo4 du1 li4 kuai4
过量地	guo4 liang4 de5
过长	guo4 chang2
过门儿	guo4 men2 er5
迍剥	zhun1 bao1
迍蹶	zhun1 jue3
迎佛骨	ying2 fo2 gu3
迎头儿	ying2 tou2 er5
迎接挑战	ying2 jie1 tiao3 zhan4
迎日推筴	ying2 ri4 tui1 jia1
迎阳子	ying2 yang2 zi3
迎面地	ying2 mian4 de5
迎风簸	ying2 feng1 bo4
运为	yun4 wei2
运亡为存	yun4 wang2 wei2 cun2
运剥	yun4 bao1
运动会地	yun4 dong4 hui4 de5
运动健将	yun4 dong4 jian4 jiang4
运动地	yun4 dong4 de5
运将	yun4 jiang4
运斗	yun4 dou3
运气	yun4 qi5
运气好地	yun4 qi4 hao3 de5
运转	yun4 zhuan4
运道	yun4 dao5
运釿	yun4 yin3
近乎	jin4 hu5
近什	jin4 shi2
近代地	jin4 dai4 de5
近似	jin4 si4
近似值	jin4 si4 zhi2
近似地	jin4 si4 de5
近似等级	jin4 si4 deng3 ji2
近似解	jin4 si4 jie3
近卫文麿	jin4 wei4 wen2 mo3
近射地	jin4 she4 de5
近尾部地	jin4 wei3 bu4 de5
近旁地	jin4 pang2 de5
近旁地在	jin4 pang2 de5 zai4
近来地	jin4 lai2 de5
近甸	jin4 dian4
近瞅子	jin4 chou3 zi3
近端地	jin4 duan1 de5
返倒	fan3 dao3
返本还元	fan3 ben3 huan2 yuan2
返本还原	fan3 ben3 huan2 yuan2
返本还源	fan3 ben3 huan2 yuan2
返朴	fan3 piao2
返朴还淳	fan3 pu3 huan2 chun2
返朴还真	fan3 pu3 huan2 zhen1
返老还童	fan3 lao3 huan2 tong2
返舍	fan3 she4
返还	fan3 huan2
返还占有	fan3 huan2 zhan4 you3
迕意	wu3 yi4
迕拒	wu3 ju4
迕指	wu3 zhi3
迕物	wu3 wu4
迕犯	wu3 fan4
迕视	wu3 shi4
迕辱	wu3 ru3
迕逆	wu3 ni4
迕道	wu3 dao4
还不断地	hai2 bu4 duan4 de5
还不时地	hai2 bu4 shi2 de5
还不错	hai2 bu2 cuo4
还东	huan2 dong1
还东山	huan2 dong1 shan1
还丹	huan2 dan1
还乡	huan2 xiang1
还乡团	huan2 xiang1 tuan2
还乡女	huan2 xiang1 nv3
还乡昼锦	huan2 xiang1 zhou4 jin3
还乡队	huan2 xiang1 dui4
还书	huan2 shu1
还价	huan2 jia4
还俗	huan2 su2
还债	huan2 zhai4
还偷偷地	hai2 tou1 tou1 de5
还元	huan2 yuan2
还元大品	huan2 yuan2 da4 pin3
还元水	huan2 yuan2 shui3
还元汤	huan2 yuan2 tang1
还元返本	huan2 yuan2 fan3 ben3
还击	huan2 ji1
还原	huan2 yuan2
还原乳	huan2 yuan2 ru3
还原剂	huan2 yuan2 ji4
还原反本	huan2 yuan2 fan3 ben3
还原号	huan2 yuan2 hao4
还原染料	huan2 yuan2 ran3 liao4
还原真相	huan2 yuan2 zhen1 xiang4
还口	huan2 kou3
还口愿	huan2 kou3 yuan4
还同情地	hai2 tong2 qing2 de5
还君明珠	huan2 jun1 ming2 zhu1
还嘴	huan2 zui3
还好好地	hai2 hao3 hao3 de5
还家	huan2 jia1
还席	huan2 xi2
还年却老	huan2 nian2 que4 lao3
还年卻老	huan2 nian2 que4 lao3
还年驻色	huan2 nian2 zhu4 se4
还愉快地	hai2 yu2 kuai4 de5
还愿	huan2 yuan4
还愿心	huan2 yuan4 xin1
还我河山	huan2 wo3 he2 shan1
还手	huan2 shou3
还本	huan2 ben3
还朴反古	huan2 pu3 fan3 gu3
还淳	huan2 chun2
还淳反古	huan2 chun2 fan3 gu3
还淳反朴	huan2 chun2 fan3 pu3
还淳反素	huan2 chun2 fan3 su4
还淳返朴	huan2 chun2 fan3 pu3
还清	huan2 qing1
还清晰地	huan2 qing1 xi1 de5
还源	huan2 yuan2
还珠	huan2 zhu1
还珠买椟	huan2 zhu1 mai3 du2
还珠亭	huan2 zhu1 ting2
还珠合浦	huan2 zhu1 he2 pu3
还珠守	huan2 zhu1 shou3
还珠洞	huan2 zhu1 dong4
还珠返璧	huan2 zhu1 fan3 bi4
还甜甜地	hai2 tian2 tian2 de5
还礼	huan2 li3
还突出地	hai2 tu1 chu1 de5
还童	huan2 tong2
还算不错	hai2 suan4 bu2 cuo4
还紧紧地	hai2 jin3 jin3 de5
还给	huan2 gei3
还账	huan2 zhang4
还贷	huan2 dai4
还迊	hai2 bi4
还适当地	hai2 shi4 dang4 de5
还醇返朴	huan2 chun2 fan3 pu3
还钱	huan2 qian2
还阳	huan2 yang2
还顾	huan2 gu4
还魂	huan2 hun2
还魂丹	huan2 hun2 dan1
还魂秀才	huan2 hun2 xiu4 cai2
还魂纸	huan2 hun2 zhi3
还魂草	huan2 hun2 cao3
这不	zhe4 bu5
这么个	zhe4 mo3 ge4
这么点	zhe4 mo3 dian3
这么点儿	zhe4 me5 dian3 er5
这么着	zhe4 me5 zhao1
这么说	zhe4 mo3 shuo1
这些个	zhe4 xie1 ge5
这些儿	zhei4 xie1 er2
这些子	zhei4 xie1 zi3
这会儿	zhe4 hui4 er5
这会子	zhe4 hui4 zi3
这大大地	zhe4 da4 da4 de5
这年头	zhe4 nian2 tou5
这早晚儿	zhe4 zao3 wan3 er5
这末	zhe4 me5
这样地	zhe4 yang4 de5
这溜儿	zhe4 liu4 er2
这着	zhe4 zhao1
这程子	zhe4 cheng2 zi3
这荅	zhe4 da2
这边儿	zhe4 bian1 er5
这边地	zhe4 bian1 de5
这还了得	zhe4 hai2 liao3 de2
这阵儿	zhe4 zhen4 er5
这麽	zhe4 me5
进一步	jin4 yi2 bu4
进一步地	jin4 yi2 bu4 de5
进供	jin4 gong4
进侯	jin4 hou4
进卷	jin4 juan4
进取地	jin4 qu3 de5
进思尽忠	jin4 si1 jin4 zhong1
进折	jin4 she2
进步地	jin4 bu4 de5
进泊	jin4 bo2
进给	jin4 ji3
进给量	jin4 ji3 liang4
进脯	jin4 fu3
进舍	jin4 she4
进舍女壻	jin4 she4 nv3 xu4
进舍女婿	jin4 she4 nv3 xu4
进行曲	jin4 xing2 qu3
进趍	jin4 qu1
进退中度	jin4 tui4 zhong4 du4
进退为难	jin4 tui4 wei2 nan2
进退出处	jin4 tui4 chu1 chu3
进退消长	jin4 tui4 xiao1 chang2
进退迍邅	jin4 tui4 chu4 zu3
进酖	jin4 dan1
进锐退速	jin3 rui4 tui4 su4
进长	jin4 chang2
进项	jin4 xiang5
远不间亲	yuan3 bu4 jian4 qin1
远侥	yuan3 yao2
远年	yuan3 ning4
远房地	yuan3 fang2 de5
远曾	yuan3 zeng1
远涉重洋	yuan3 she4 chong2 yang2
远渡重洋	yuan3 du4 chong2 yang2
远覃	yuan3 qin2
远视地	yuan3 shi4 de5
远距离地	yuan3 ju4 li2 de5
远远地	yuan3 yuan3 de5
违卜	wei2 bu3
违命侯	wei2 ming4 hou4
违心地	wei2 xin1 de5
违心地做	wei2 xin1 de5 zuo4
违拗	wei2 ao4
违法地	wei2 fa3 de5
违舍	wei2 she4
违规批地	wei2 gui1 pi1 de5
违迕	wei2 wu3
违遶	wei2 rao3
连中	lian2 zhong4
连中三元	lian2 zhong4 san1 yuan2
连串地	lian2 chuan4 de5
连住子	lian2 zhu4 zi3
连动杆	lian2 dong4 gan3
连卷	lian2 juan4
连子弩	lian2 zi3 nu3
连带地	lian2 dai4 de5
连扯跟头	lian2 che3 gen1 tou5
连接框	lian2 jie1 kuang4
连朝	lian2 zhao1
连杆	lian2 gan3
连栅	lian2 shan1
连橇	lian2 qiao4
连欐	lian2 li3
连毂	lian2 gu1
连片子嘴	lian2 pian1 zi5 zui3
连犿	lian2 fan1
连璅	lian2 zao3
连璧贲临	lian2 bi4 bi4 lin2
连筩	lian2 yong3
连篇累牍	lian2 pian1 lei3 du2
连累	lian2 lei3
连结地	lian2 jie2 de5
连续地	lian2 xu4 de5
连编累牍	lian2 bian1 lei3 du2
连翘	lian2 qiao2
连舳	lian2 zhou4
连苕	lian2 tiao2
连蒙带唬	lian2 meng1 dai4 hu3
连蒙带骗	lian2 meng1 dai4 pian4
连街倒巷	lian2 jie1 dao3 xiang4
连贯地	lian2 guan4 de5
连车平斗	lian2 che1 ping2 dou3
连轧机	lian2 zha2 ji1
连轴转	lian2 zhou2 zhuan4
连载	lian2 zai3
连载地	lian2 zai3 de5
连载小说	lian2 zai3 xiao3 shuo1
连锁反应	lian2 suo3 fan3 ying4
连鬓胡子	lian2 bin4 hu2 zi3
迟佪	chi2 huai2
迟到地	chi2 dao4 de5
迟延地	chi2 yan2 de5
迟朴	chi2 piao2
迟疑地	chi2 yi2 de5
迟缓地	chi2 huan3 de5
迟迟地	chi2 chi2 de5
迟钝地	chi2 dun4 de5
迤久	yi3 jiu3
迤平	yi3 ping2
迤延	yi3 yan2
迤扬	yi3 yang2
迤斜	yi3 xie2
迤汇	yi3 hui4
迤涎	yi3 xian2
迤渐	yi3 jian4
迤迤	yi3 yi3
迤递	yi3 di4
迤逗	yi3 dou4
迤逦	yi3 li3
迤逶	yi3 wei1
迤遰	yi3 di4
迤里	yi3 li3
迤长	yi3 chang2
迤陇	yi3 long3
迤靡	yi3 mi2
迤飏	yi3 yang2
迦叶佛	jia1 ye4 fo2
迦拘勒	jia1 ju1 le4
迦陵毗伽	jia1 ling2 pi2 jia1
迦陵频伽	jia1 ling2 pin2 jia1
迪吧	di2 ba1
迪斯科吧	di2 si1 ke1 ba1
迫供	po4 gong4
迫击	pai3 ji1
迫击炮	pai3 ji1 pao4
迫击炮弹	pai3 ji1 pao4 dan4
迫切地	po4 qie4 de5
迫划	po4 hua2
迫勒	po4 le4
迫唶	po4 jie4
迫诘	po4 jie2
迭为宾主	die2 wei2 bin1 zhu3
迭噷	die2 hen1
迭更	die2 geng1
迭矩重规	die2 ju3 chong2 gui1
述词地	shu4 ci2 de5
述载	shu4 zai3
迱逗	yi3 dou4
迷人地	mi2 ren2 de5
迷住	mi2 zhu5
迷信地	mi2 xin4 de5
迷地装	mi2 de5 zhuang1
迷幻蘑菇	mi2 huan4 mo2 gu5
迷恋地	mi2 lian4 de5
迷惑	mi2 huo5
迷惑地	mi2 huo4 de5
迷惑地问	mi2 huo4 de5 wen4
迷惑龙	mi2 huo5 long2
迷溜没乱	mi2 liu1 mo4 luan4
迷留没乱	mi2 liu2 mo4 luan4
迷离马虎	mi2 li2 ma3 hu5
迷糊	mi2 hu1
迷糊地	mi2 hu1 de5
迷缪	mi2 miu4
迷迷怔怔	mi2 mi2 zheng4 zheng4
迷迷糊糊	mi2 mi2 hu1 hu1
迷途地	mi2 tu2 de5
迷闇	mi2 an1
迸瀑	beng4 bao4
追复脯	zhui1 fu4 fu3
追官勒停	zhui1 guan1 le4 ting2
追数	zhui1 shu3
追曲	zhui1 qu3
追溯地	zhui1 su4 de5
追琢	dui1 zhuo2
追覃	zhui1 qin2
追诘	zhui1 jie2
追趋逐耆	zhui1 qu1 zhu2 shi4
追还	zhui1 huan2
退三舍	tui4 san1 she4
退动地	tui4 dong4 de5
退处	tui4 chu3
退学地	tui4 xue2 de5
退恶地	tui4 e4 de5
退步抽身	tui5 bu5 chou5 sheng5
退省	tui4 xing3
退真地	tui4 zhen1 de5
退耕还林	tui4 geng1 huan2 lin2
退舍	tui4 she4
退萎	tui4 wei3
退还	tui4 huan2
退避三舍	tui4 bi4 san1 she4
退食委蛇	tui4 shi2 wei1 yi2
送亲娘子	song4 qin1 niang2 zi3
送似	song4 si4
送佛	song4 fo2
送卷头	song4 juan4 tou2
送子娘娘	song4 zi3 niang2 niang2
送子观音	song4 zi3 guan1 yin1
送煖偎寒	song4 xuan1 wei1 han2
送煖偷寒	song4 xuan1 tou1 han2
送爵荐脯	song4 jue2 jian4 fu3
送长送短	song4 chang2 song4 duan3
适中地	shi4 zhong1 de5
适切地	shi4 qie4 de5
适合地	shi4 he2 de5
适如其分	shi4 ru2 qi2 fen4
适子	shi4 zi3
适应	shi4 ying4
适应性	shi4 ying4 xing4
适应症	shi4 ying4 zheng4
适度地	shi4 du4 de5
适当	shi4 dang4
适当地	shi4 dang4 de5
适情率意	shi4 qing2 shuai4 yi4
适时地	shi4 shi2 de5
适法地	shi4 fa3 de5
适纔	shi4 shan1
适长	shi4 chang2
适长公主	shi4 chang2 gong1 zhu3
逃不掉地	tao2 bu4 diao4 de5
逃也似地	tao2 ye3 shi4 de5
逃奔	tao2 ben4
逃灾避难	tao2 zai1 bi4 nan4
逃生子	tao2 sheng1 zi3
逃避地	tao2 bi4 de5
逃难	tao2 nan4
逆动地	ni4 dong4 de5
逆卜	ni4 bu3
逆反应	ni4 fan3 ying4
逆向地	ni4 xiang4 de5
逆子	ni4 zi3
逆子贼臣	ni4 zi3 zei2 chen2
逆折	ni4 she2
逆施倒行	ni4 shi1 dao3 xing2
逆时针地	ni4 shi2 zhen1 de5
逆流地	ni4 liu2 de5
逆臣贼子	ni4 chen2 zei2 zi3
逆行地	ni4 xing2 de5
逆迕	ni4 wu3
逆逜	ni4 wu3
逆风地	ni4 feng1 de5
选中	xuan3 zhong4
选举地	xuan3 ju3 de5
选佛场	xuan3 fo2 chang3
选抡	xuan3 lun2
选择性地	xuan3 ze2 xing4 de5
选曲	xuan3 qu3
选蝡	xuan3 ruan3
选輭	xuan3 er2
逍遥子	xiao1 yao2 zi3
逍遥自在	xiao1 yao2 zi4 zai5
透不过地	tou4 bu4 guo4 de5
透切	tou4 qie1
透子	tou4 zi3
透彻地	tou4 che4 de5
透明地	tou4 ming2 de5
透水地	tou4 shui3 de5
逐个地	zhu2 ge4 de5
逐字地	zhu2 zi4 de5
逐机应变	zhu2 ji1 ying4 bian4
逐条地	zhu2 tiao2 de5
逐次地	zhu2 ci4 de5
逐次近似	zhu2 ci4 jin4 si4
逐步地	zhu2 bu4 de5
逐渐地	zhu2 jian4 de5
逐物不还	zhu2 wu4 bu4 huan2
逐行	zhu2 hang2
逐行扫描	zhu2 hang2 sao3 miao2
递减地	de5 jian3 de5
递归地	de5 gui1 de5
递更	di4 geng1
递解	di4 jie4
逗乐子	dou4 le4 zi3
逗比	dou4 bi1
逗笑儿	dou4 xiao4 er5
逗闷子	dou4 men4 zi3
通事舍人	tong1 shi4 she4 ren2
通什	tong1 shi2
通俗地	tong1 su2 de5
通俗地讲	tong1 su2 de5 jiang3
通俗地说	tong1 su2 de5 shuo1
通则地	tong1 ze2 de5
通印子鱼	tong1 yin4 zi3 yu2
通厮脚儿	tong1 si1 jue2 er2
通天台	tong1 tian1 tai1
通子	tong1 zi3
通宵地	tong1 xiao1 de5
通常地	tong1 chang2 de5
通应子鱼	tong1 ying4 zi3 yu2
通晓地	tong1 xiao3 de5
通畅地	tong1 chang4 de5
通盘地看	tong1 pan2 de5 kan4
通称地	tong1 cheng1 de5
通红	tong4 hong2
通红地	tong4 hong2 de5
通藉	tong1 jie4
通讯行业	tong1 xun4 hang2 ye4
通透地	tong1 tou4 de5
通都	tong1 du1
通都大邑	tong1 du1 da4 yi4
通长	tong1 chang2
通顺地	tong1 shun4 de5
逛窑子	guang4 yao2 zi3
逛逛	guang4 guang5
逛道儿	guang4 dao4 er5
逜逆	wu3 ni4
逞应	cheng3 ying4
逞强好胜	cheng3 qiang2 hao4 sheng4
逞性妄为	cheng3 xing4 wang4 wei2
逞能地	cheng3 neng2 de5
逞角色	cheng3 jue2 se4
速调管	su4 tiao2 guan3
造为	zao4 wei2
造反地	zao4 fan3 de5
造子	zao4 zi3
造耑	zao4 zhuan1
造谋布穽	zao4 mou2 bu4 yan2
造谣中伤	zao4 yao2 zhong4 shang1
造难	zao4 nan4
逢俉	feng2 wu2
逢处	feng2 chu3
逢掖	feng2 ye4
逢长	feng2 chang2
逢门子	feng2 men2 zi3
逦迤	li3 yi3
逩波	ben1 bo1
逩迸	ben1 beng4
逩逐	ben1 zhu2
逮捕	dai4 bu3
逮捕证	dai4 bu3 zheng4
逮考	dai4 kao3
逴优	chuo4 you1
逴俗绝物	chuo4 su2 jue2 wu4
逴姹	chuo4 cha4
逴斡	chuo4 wo4
逴绝	chuo4 jue2
逴行	chuo4 xing2
逴覆	chuo4 fu4
逴见	chuo4 jian4
逴越	chuo4 yue4
逴跞	chuo1 luo4
逴迈	chuo4 mai4
逴远	chuo4 yuan3
逴逴	chuo4 chuo4
逴龙	chuo4 long2
逵舍	kui2 she4
逶媠	wei1 duo4
逶折	wei1 she2
逶迆	wei1 yi3
逶迱	wei1 yi3
逶遟	wei1 zhi4
逸兴	yi4 xing4
逸兴云飞	yi4 xing4 yun2 fei1
逸兴横飞	yi4 xing4 heng2 fei1
逸兴遄飞	yi4 xing4 chuan2 fei1
逸勒	yi4 le4
逸处	yi4 chu3
逸曲	yi4 qu3
逻伺	luo2 si4
逻堡	luo2 pu4
逻子	luo2 zi3
逻挲	luo2 suo1
逻舍	luo2 she4
逻辑学	luo2 ji5 xue2
逻辑思维	luo2 ji5 si1 wei2
逻辑演算	luo2 ji5 yan3 suan4
逻辑电路	luo2 ji5 dian4 lu4
逻辑错误	luo2 ji5 cuo4 wu4
逼似	bi1 si4
逼供	bi1 gong4
逼供信	bi1 gong4 xin4
逼切	bi1 qie1
逼剥	bi1 bao1
